# Loss function L(Q,w) and dynamical structure factor S(Q,w)
#
# L(Q,w)= -Im(1/eps_m(Q,w) [1]
# S(Q,w)= L(Q,w)*|Q|^2*/(4 pi^2 n_val) [Energy^-1]
#
# Momentum transfer Q=G+q in lattice coordinates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian coordinates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
#   Frequency/(eV/hbar)                  L(Q,w)             S(Q,w)*1000
+0.6503520742539999E+03 +0.3893552589237021E-03 +0.0000000000000000E+00
+0.6503566094846433E+03 +0.3907574830345887E-03 +0.0000000000000000E+00
+0.6503611447152866E+03 +0.3921680027036001E-03 +0.0000000000000000E+00
+0.6503656799459300E+03 +0.3935868886769863E-03 +0.0000000000000000E+00
+0.6503702151765733E+03 +0.3950142125039041E-03 +0.0000000000000000E+00
+0.6503747504072167E+03 +0.3964500465476481E-03 +0.0000000000000000E+00
+0.6503792856378600E+03 +0.3978944639975678E-03 +0.0000000000000000E+00
+0.6503838208685033E+03 +0.3993475388806974E-03 +0.0000000000000000E+00
+0.6503883560991467E+03 +0.4008093460740848E-03 +0.0000000000000000E+00
+0.6503928913297900E+03 +0.4022799613168339E-03 +0.0000000000000000E+00
+0.6503974265604332E+03 +0.4037594612228344E-03 +0.0000000000000000E+00
+0.6504019617910767E+03 +0.4052479232933956E-03 +0.0000000000000000E+00
+0.6504064970217199E+03 +0.4067454259300989E-03 +0.0000000000000000E+00
+0.6504110322523634E+03 +0.4082520484482111E-03 +0.0000000000000000E+00
+0.6504155674830066E+03 +0.4097678710898337E-03 +0.0000000000000000E+00
+0.6504201027136501E+03 +0.4112929750378225E-03 +0.0000000000000000E+00
+0.6504246379442933E+03 +0.4128274424294195E-03 +0.0000000000000000E+00
+0.6504291731749368E+03 +0.4143713563706658E-03 +0.0000000000000000E+00
+0.6504337084055800E+03 +0.4159248009505348E-03 +0.0000000000000000E+00
+0.6504382436362233E+03 +0.4174878612558270E-03 +0.0000000000000000E+00
+0.6504427788668667E+03 +0.4190606233859922E-03 +0.0000000000000000E+00
+0.6504473140975100E+03 +0.4206431744682257E-03 +0.0000000000000000E+00
+0.6504518493281533E+03 +0.4222356026731750E-03 +0.0000000000000000E+00
+0.6504563845587967E+03 +0.4238379972304230E-03 +0.0000000000000000E+00
+0.6504609197894400E+03 +0.4254504484448017E-03 +0.0000000000000000E+00
+0.6504654550200834E+03 +0.4270730477124550E-03 +0.0000000000000000E+00
+0.6504699902507267E+03 +0.4287058875377524E-03 +0.0000000000000000E+00
+0.6504745254813701E+03 +0.4303490615499559E-03 +0.0000000000000000E+00
+0.6504790607120133E+03 +0.4320026645207206E-03 +0.0000000000000000E+00
+0.6504835959426567E+03 +0.4336667923815734E-03 +0.0000000000000000E+00
+0.6504881311733000E+03 +0.4353415422417106E-03 +0.0000000000000000E+00
+0.6504926664039433E+03 +0.4370270124064919E-03 +0.0000000000000000E+00
+0.6504972016345866E+03 +0.4387233023957378E-03 +0.0000000000000000E+00
+0.6505017368652300E+03 +0.4404305129629537E-03 +0.0000000000000000E+00
+0.6505062720958733E+03 +0.4421487461143303E-03 +0.0000000000000000E+00
+0.6505108073265167E+03 +0.4438781051287002E-03 +0.0000000000000000E+00
+0.6505153425571600E+03 +0.4456186945772705E-03 +0.0000000000000000E+00
+0.6505198777878032E+03 +0.4473706203442993E-03 +0.0000000000000000E+00
+0.6505244130184467E+03 +0.4491339896477898E-03 +0.0000000000000000E+00
+0.6505289482490899E+03 +0.4509089110605853E-03 +0.0000000000000000E+00
+0.6505334834797334E+03 +0.4526954945322440E-03 +0.0000000000000000E+00
+0.6505380187103766E+03 +0.4544938514107699E-03 +0.0000000000000000E+00
+0.6505425539410201E+03 +0.4563040944653779E-03 +0.0000000000000000E+00
+0.6505470891716633E+03 +0.4581263379090845E-03 +0.0000000000000000E+00
+0.6505516244023067E+03 +0.4599606974223585E-03 +0.0000000000000000E+00
+0.6505561596329500E+03 +0.4618072901766172E-03 +0.0000000000000000E+00
+0.6505606948635933E+03 +0.4636662348587641E-03 +0.0000000000000000E+00
+0.6505652300942367E+03 +0.4655376516958257E-03 +0.0000000000000000E+00
+0.6505697653248800E+03 +0.4674216624800706E-03 +0.0000000000000000E+00
+0.6505743005555233E+03 +0.4693183905950264E-03 +0.0000000000000000E+00
+0.6505788357861667E+03 +0.4712279610414174E-03 +0.0000000000000000E+00
+0.6505833710168100E+03 +0.4731505004642629E-03 +0.0000000000000000E+00
+0.6505879062474534E+03 +0.4750861371798733E-03 +0.0000000000000000E+00
+0.6505924414780966E+03 +0.4770350012039986E-03 +0.0000000000000000E+00
+0.6505969767087400E+03 +0.4789972242801448E-03 +0.0000000000000000E+00
+0.6506015119393833E+03 +0.4809729399084466E-03 +0.0000000000000000E+00
+0.6506060471700267E+03 +0.4829622833755659E-03 +0.0000000000000000E+00
+0.6506105824006700E+03 +0.4849653917845541E-03 +0.0000000000000000E+00
+0.6506151176313134E+03 +0.4869824040860166E-03 +0.0000000000000000E+00
+0.6506196528619566E+03 +0.4890134611092252E-03 +0.0000000000000000E+00
+0.6506241880926001E+03 +0.4910587055945703E-03 +0.0000000000000000E+00
+0.6506287233232433E+03 +0.4931182822259846E-03 +0.0000000000000000E+00
+0.6506332585538867E+03 +0.4951923376647011E-03 +0.0000000000000000E+00
+0.6506377937845300E+03 +0.4972810205832760E-03 +0.0000000000000000E+00
+0.6506423290151733E+03 +0.4993844817003184E-03 +0.0000000000000000E+00
+0.6506468642458167E+03 +0.5015028738164060E-03 +0.0000000000000000E+00
+0.6506513994764600E+03 +0.5036363518500723E-03 +0.0000000000000000E+00
+0.6506559347071034E+03 +0.5057850728752930E-03 +0.0000000000000000E+00
+0.6506604699377467E+03 +0.5079491961590289E-03 +0.0000000000000000E+00
+0.6506650051683901E+03 +0.5101288832003129E-03 +0.0000000000000000E+00
+0.6506695403990333E+03 +0.5123242977694254E-03 +0.0000000000000000E+00
+0.6506740756296766E+03 +0.5145356059486172E-03 +0.0000000000000000E+00
+0.6506786108603200E+03 +0.5167629761732415E-03 +0.0000000000000000E+00
+0.6506831460909633E+03 +0.5190065792737694E-03 +0.0000000000000000E+00
+0.6506876813216066E+03 +0.5212665885192002E-03 +0.0000000000000000E+00
+0.6506922165522500E+03 +0.5235431796606982E-03 +0.0000000000000000E+00
+0.6506967517828933E+03 +0.5258365309769588E-03 +0.0000000000000000E+00
+0.6507012870135367E+03 +0.5281468233197897E-03 +0.0000000000000000E+00
+0.6507058222441800E+03 +0.5304742401614807E-03 +0.0000000000000000E+00
+0.6507103574748234E+03 +0.5328189676424427E-03 +0.0000000000000000E+00
+0.6507148927054666E+03 +0.5351811946206332E-03 +0.0000000000000000E+00
+0.6507194279361100E+03 +0.5375611127216053E-03 +0.0000000000000000E+00
+0.6507239631667533E+03 +0.5399589163896565E-03 +0.0000000000000000E+00
+0.6507284983973967E+03 +0.5423748029406521E-03 +0.0000000000000000E+00
+0.6507330336280399E+03 +0.5448089726152606E-03 +0.0000000000000000E+00
+0.6507375688586834E+03 +0.5472616286342291E-03 +0.0000000000000000E+00
+0.6507421040893266E+03 +0.5497329772540772E-03 +0.0000000000000000E+00
+0.6507466393199701E+03 +0.5522232278249092E-03 +0.0000000000000000E+00
+0.6507511745506133E+03 +0.5547325928486925E-03 +0.0000000000000000E+00
+0.6507557097812567E+03 +0.5572612880396931E-03 +0.0000000000000000E+00
+0.6507602450119000E+03 +0.5598095323857532E-03 +0.0000000000000000E+00
+0.6507647802425433E+03 +0.5623775482110011E-03 +0.0000000000000000E+00
+0.6507693154731867E+03 +0.5649655612405627E-03 +0.0000000000000000E+00
+0.6507738507038300E+03 +0.5675738006659580E-03 +0.0000000000000000E+00
+0.6507783859344734E+03 +0.5702024992129239E-03 +0.0000000000000000E+00
+0.6507829211651167E+03 +0.5728518932099388E-03 +0.0000000000000000E+00
+0.6507874563957600E+03 +0.5755222226592636E-03 +0.0000000000000000E+00
+0.6507919916264034E+03 +0.5782137313087735E-03 +0.0000000000000000E+00
+0.6507965268570466E+03 +0.5809266667263450E-03 +0.0000000000000000E+00
+0.6508010620876901E+03 +0.5836612803754632E-03 +0.0000000000000000E+00
+0.6508055973183333E+03 +0.5864178276926320E-03 +0.0000000000000000E+00
+0.6508101325489766E+03 +0.5891965681672454E-03 +0.0000000000000000E+00
+0.6508146677796200E+03 +0.5919977654225089E-03 +0.0000000000000000E+00
+0.6508192030102633E+03 +0.5948216872992780E-03 +0.0000000000000000E+00
+0.6508237382409067E+03 +0.5976686059409866E-03 +0.0000000000000000E+00
+0.6508282734715500E+03 +0.6005387978816239E-03 +0.0000000000000000E+00
+0.6508328087021933E+03 +0.6034325441349082E-03 +0.0000000000000000E+00
+0.6508373439328366E+03 +0.6063501302865817E-03 +0.0000000000000000E+00
+0.6508418791634800E+03 +0.6092918465883798E-03 +0.0000000000000000E+00
+0.6508464143941233E+03 +0.6122579880543412E-03 +0.0000000000000000E+00
+0.6508509496247667E+03 +0.6152488545601653E-03 +0.0000000000000000E+00
+0.6508554848554099E+03 +0.6182647509441039E-03 +0.0000000000000000E+00
+0.6508600200860534E+03 +0.6213059871114392E-03 +0.0000000000000000E+00
+0.6508645553166966E+03 +0.6243728781405609E-03 +0.0000000000000000E+00
+0.6508690905473401E+03 +0.6274657443928009E-03 +0.0000000000000000E+00
+0.6508736257779833E+03 +0.6305849116240113E-03 +0.0000000000000000E+00
+0.6508781610086266E+03 +0.6337307111000156E-03 +0.0000000000000000E+00
+0.6508826962392700E+03 +0.6369034797143506E-03 +0.0000000000000000E+00
+0.6508872314699133E+03 +0.6401035601090713E-03 +0.0000000000000000E+00
+0.6508917667005567E+03 +0.6433313007993698E-03 +0.0000000000000000E+00
+0.6508963019312000E+03 +0.6465870563004180E-03 +0.0000000000000000E+00
+0.6509008371618434E+03 +0.6498711872586470E-03 +0.0000000000000000E+00
+0.6509053723924867E+03 +0.6531840605853636E-03 +0.0000000000000000E+00
+0.6509099076231300E+03 +0.6565260495950303E-03 +0.0000000000000000E+00
+0.6509144428537734E+03 +0.6598975341460774E-03 +0.0000000000000000E+00
+0.6509189780844166E+03 +0.6632989007865472E-03 +0.0000000000000000E+00
+0.6509235133150601E+03 +0.6667305429029205E-03 +0.0000000000000000E+00
+0.6509280485457033E+03 +0.6701928608729413E-03 +0.0000000000000000E+00
+0.6509325837763467E+03 +0.6736862622233051E-03 +0.0000000000000000E+00
+0.6509371190069900E+03 +0.6772111617905263E-03 +0.0000000000000000E+00
+0.6509416542376334E+03 +0.6807679818873643E-03 +0.0000000000000000E+00
+0.6509461894682767E+03 +0.6843571524726240E-03 +0.0000000000000000E+00
+0.6509507246989200E+03 +0.6879791113268184E-03 +0.0000000000000000E+00
+0.6509552599295633E+03 +0.6916343042314697E-03 +0.0000000000000000E+00
+0.6509597951602067E+03 +0.6953231851545305E-03 +0.0000000000000000E+00
