# Excitonic eigen energies and oscillator strengths
#
# Momentum transfer Q=G+q in lattice cooridnates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian cooridnates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
# Energy scale  27.2113839
# E_shift : -0.1529638416064815E+02
#
#    Nr.                       E               E+E_shift             |Osc. Str.|      Re(Osc. Str. Res.)      Im(Osc. Str. Res.)
       1     12.4135744359583189     -2.8828097246898272  0.2434122178393731E-01  0.2434122178393731E-01  0.0000000000000000E+00
       2     12.4834091786785812     -2.8129749819695653  0.2318043859139472E-01  0.2318043859139472E-01  0.0000000000000000E+00
       3     12.7532129383873922     -2.5431712222607548  0.2098900614977612E-01  0.2098900614977612E-01  0.0000000000000000E+00
       4     13.5681278887268473     -1.7282562719212990  0.2414864920775291E-02  0.2414864920775291E-02  0.0000000000000000E+00
       5     13.7111339178971257     -1.5852502427510213  0.3527430507006086E-02  0.3527430507006086E-02  0.0000000000000000E+00
       6     13.9197825304636940     -1.3766016301844533  0.3053672887827793E-02  0.3053672887827793E-02  0.0000000000000000E+00
       7     14.1612114314875583     -1.1351727291605886  0.2592079152339282E-02  0.2592079152339282E-02  0.0000000000000000E+00
       8     14.2993485169785028     -0.9970356436696443  0.2299299625613572E-02  0.2299299625613572E-02  0.0000000000000000E+00
       9     14.3184865692389245     -0.9778975914092212  0.2371272111933326E-02  0.2371272111933326E-02  0.0000000000000000E+00
      10     14.5923079190107980     -0.7040762416373476  0.3199262581641748E-02  0.3199262581641748E-02  0.0000000000000000E+00
      11     14.6333421011936160     -0.6630420594545304  0.1121007563368080E-02  0.1121007563368080E-02  0.0000000000000000E+00
      12     14.6982589704038453     -0.5981251902443016  0.1758471135133511E-02  0.1758471135133511E-02  0.0000000000000000E+00
      13     14.7920284791613916     -0.5043556814867555  0.3369525207567239E-03  0.3369525207567239E-03  0.0000000000000000E+00
      14     14.8148046877321153     -0.4815794729160308  0.1542826008293508E-02  0.1542826008293508E-02  0.0000000000000000E+00
      15     14.8877164951951464     -0.4086676654530007  0.2478466747150150E-03  0.2478466747150150E-03  0.0000000000000000E+00
      16     14.9193673007672434     -0.3770168598809036  0.4074387905320285E-03  0.4074387905320285E-03  0.0000000000000000E+00
      17     15.0317472035976376     -0.2646369570505095  0.5482826968604567E-03  0.5482826968604567E-03  0.0000000000000000E+00
      18     15.1378206079726549     -0.1585635526754910  0.1479062176188084E-02  0.1479062176188084E-02  0.0000000000000000E+00
      19     15.1984829018732306     -0.0979012587749160  0.2903191381127958E-03  0.2903191381127958E-03  0.0000000000000000E+00
