# Loss function L(Q,w) and dynamical structure factor S(Q,w)
#
# L(Q,w)= -Im(1/eps_m(Q,w) [1]
# S(Q,w)= L(Q,w)*|Q|^2*/(4 pi^2 n_val) [Energy^-1]
#
# Momentum transfer Q=G+q in lattice coordinates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian coordinates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
#   Frequency/(eV/hbar)                  L(Q,w)             S(Q,w)*1000
+0.0000000000000000E+00 +0.0000000000000000E+00 +0.0000000000000000E+00
+0.2721138386000000E-01 +0.1248837102601587E-04 +0.0000000000000000E+00
+0.5442276772000000E-01 +0.2497756787022492E-04 +0.0000000000000000E+00
+0.8163415158000001E-01 +0.3746841676424711E-04 +0.0000000000000000E+00
+0.1088455354400000E+00 +0.4996174476705634E-04 +0.0000000000000000E+00
+0.1360569193000000E+00 +0.6245838017990984E-04 +0.0000000000000000E+00
+0.1632683031600000E+00 +0.7495915296278430E-04 +0.0000000000000000E+00
+0.1904796870200000E+00 +0.8746489515282270E-04 +0.0000000000000000E+00
+0.2176910708800000E+00 +0.9997644128530831E-04 +0.0000000000000000E+00
+0.2449024547400001E+00 +0.1124946288176747E-03 +0.0000000000000000E+00
+0.2721138386000000E+00 +0.1250202985570816E-03 +0.0000000000000000E+00
+0.2993252224600000E+00 +0.1375542950920796E-03 +0.0000000000000000E+00
+0.3265366063200000E+00 +0.1500974672289091E-03 +0.0000000000000000E+00
+0.3537479901800000E+00 +0.1626506684329761E-03 +0.0000000000000000E+00
+0.3809593740400000E+00 +0.1752147572760643E-03 +0.0000000000000000E+00
+0.4081707579000000E+00 +0.1877905978898597E-03 +0.0000000000000000E+00
+0.4353821417600000E+00 +0.2003790604263643E-03 +0.0000000000000000E+00
+0.4625935256200001E+00 +0.2129810215258030E-03 +0.0000000000000000E+00
+0.4898049094800001E+00 +0.2255973647926388E-03 +0.0000000000000000E+00
+0.5170162933400000E+00 +0.2382289812803251E-03 +0.0000000000000000E+00
+0.5442276772000001E+00 +0.2508767699854446E-03 +0.0000000000000000E+00
+0.5714390610600001E+00 +0.2635416383519206E-03 +0.0000000000000000E+00
+0.5986504449200000E+00 +0.2762245027859671E-03 +0.0000000000000000E+00
+0.6258618287800001E+00 +0.2889262891825222E-03 +0.0000000000000000E+00
+0.6530732126400001E+00 +0.3016479334638878E-03 +0.0000000000000000E+00
+0.6802845965000001E+00 +0.3143903821313527E-03 +0.0000000000000000E+00
+0.7074959803600001E+00 +0.3271545928305984E-03 +0.0000000000000000E+00
+0.7347073642200000E+00 +0.3399415349317081E-03 +0.0000000000000000E+00
+0.7619187480800000E+00 +0.3527521901246485E-03 +0.0000000000000000E+00
+0.7891301319400000E+00 +0.3655875530311252E-03 +0.0000000000000000E+00
+0.8163415158000000E+00 +0.3784486318337270E-03 +0.0000000000000000E+00
+0.8435528996600000E+00 +0.3913364489233641E-03 +0.0000000000000000E+00
+0.8707642835200000E+00 +0.4042520415659906E-03 +0.0000000000000000E+00
+0.8979756673800001E+00 +0.4171964625896863E-03 +0.0000000000000000E+00
+0.9251870512400001E+00 +0.4301707810932154E-03 +0.0000000000000000E+00
+0.9523984351000001E+00 +0.4431760831772109E-03 +0.0000000000000000E+00
+0.9796098189600002E+00 +0.4562134726992127E-03 +0.0000000000000000E+00
+0.1006821202820000E+01 +0.4692840720538356E-03 +0.0000000000000000E+00
+0.1034032586680000E+01 +0.4823890229794015E-03 +0.0000000000000000E+00
+0.1061243970540000E+01 +0.4955294873924354E-03 +0.0000000000000000E+00
+0.1088455354400000E+01 +0.5087066482515224E-03 +0.0000000000000000E+00
+0.1115666738260000E+01 +0.5219217104520375E-03 +0.0000000000000000E+00
+0.1142878122120000E+01 +0.5351759017534197E-03 +0.0000000000000000E+00
+0.1170089505980000E+01 +0.5484704737406616E-03 +0.0000000000000000E+00
+0.1197300889840000E+01 +0.5618067028218634E-03 +0.0000000000000000E+00
+0.1224512273700000E+01 +0.5751858912637030E-03 +0.0000000000000000E+00
+0.1251723657560000E+01 +0.5886093682668588E-03 +0.0000000000000000E+00
+0.1278935041420000E+01 +0.6020784910834881E-03 +0.0000000000000000E+00
+0.1306146425280000E+01 +0.6155946461789674E-03 +0.0000000000000000E+00
+0.1333357809140000E+01 +0.6291592504402796E-03 +0.0000000000000000E+00
+0.1360569193000000E+01 +0.6427737524334837E-03 +0.0000000000000000E+00
+0.1387780576860000E+01 +0.6564396337129371E-03 +0.0000000000000000E+00
+0.1414991960720000E+01 +0.6701584101849959E-03 +0.0000000000000000E+00
+0.1442203344580000E+01 +0.6839316335291610E-03 +0.0000000000000000E+00
+0.1469414728440000E+01 +0.6977608926797348E-03 +0.0000000000000000E+00
+0.1496626112300000E+01 +0.7116478153713051E-03 +0.0000000000000000E+00
