# Loss function L(Q,w) and dynamical structure factor S(Q,w)
#
# L(Q,w)= -Im(1/eps_m(Q,w) [1]
# S(Q,w)= L(Q,w)*|Q|^2*/(4 pi^2 n_val) [Energy^-1]
#
# Momentum transfer Q=G+q in lattice coordinates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian coordinates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
#   Frequency/(eV/hbar)                  L(Q,w)             S(Q,w)*1000
+0.6530732126400001E+03 +0.7463401614957322E-05 +0.0000000000000000E+00
+0.6531639172528667E+03 +0.7588565571380694E-05 +0.0000000000000000E+00
+0.6532546218657334E+03 +0.7716986502776005E-05 +0.0000000000000000E+00
+0.6533453264786001E+03 +0.7848780746432332E-05 +0.0000000000000000E+00
+0.6534360310914667E+03 +0.7984069966677197E-05 +0.0000000000000000E+00
+0.6535267357043333E+03 +0.8122981454162954E-05 +0.0000000000000000E+00
+0.6536174403172000E+03 +0.8265648445163894E-05 +0.0000000000000000E+00
+0.6537081449300667E+03 +0.8412210462444269E-05 +0.0000000000000000E+00
+0.6537988495429333E+03 +0.8562813679391210E-05 +0.0000000000000000E+00
+0.6538895541558001E+03 +0.8717611309261883E-05 +0.0000000000000000E+00
+0.6539802587686668E+03 +0.8876764021561919E-05 +0.0000000000000000E+00
+0.6540709633815334E+03 +0.9040440387756682E-05 +0.0000000000000000E+00
+0.6541616679944000E+03 +0.9208817358723443E-05 +0.0000000000000000E+00
+0.6542523726072667E+03 +0.9382080776574871E-05 +0.0000000000000000E+00
+0.6543430772201334E+03 +0.9560425923739972E-05 +0.0000000000000000E+00
+0.6544337818330000E+03 +0.9744058112460079E-05 +0.0000000000000000E+00
+0.6545244864458667E+03 +0.9933193318167746E-05 +0.0000000000000000E+00
+0.6546151910587334E+03 +0.1012805886055599E-04 +0.0000000000000000E+00
+0.6547058956716000E+03 +0.1032889413652386E-04 +0.0000000000000000E+00
+0.6547966002844666E+03 +0.1053595140960681E-04 +0.0000000000000000E+00
+0.6548873048973334E+03 +0.1074949666096487E-04 +0.0000000000000000E+00
+0.6549780095102001E+03 +0.1096981050753226E-04 +0.0000000000000000E+00
+0.6550687141230667E+03 +0.1119718919350794E-04 +0.0000000000000000E+00
+0.6551594187359334E+03 +0.1143194566202464E-04 +0.0000000000000000E+00
+0.6552501233488000E+03 +0.1167441071456209E-04 +0.0000000000000000E+00
+0.6553408279616667E+03 +0.1192493426649203E-04 +0.0000000000000000E+00
+0.6554315325745333E+03 +0.1218388670805596E-04 +0.0000000000000000E+00
+0.6555222371874000E+03 +0.1245166038112011E-04 +0.0000000000000000E+00
+0.6556129418002668E+03 +0.1272867118320542E-04 +0.0000000000000000E+00
+0.6557036464131334E+03 +0.1301536031160933E-04 +0.0000000000000000E+00
+0.6557943510260001E+03 +0.1331219616191397E-04 +0.0000000000000000E+00
+0.6558850556388667E+03 +0.1361967639685204E-04 +0.0000000000000000E+00
+0.6559757602517334E+03 +0.1393833020340126E-04 +0.0000000000000000E+00
+0.6560664648646000E+03 +0.1426872075812472E-04 +0.0000000000000000E+00
+0.6561571694774667E+03 +0.1461144792323386E-04 +0.0000000000000000E+00
+0.6562478740903334E+03 +0.1496715119862641E-04 +0.0000000000000000E+00
+0.6563385787032000E+03 +0.1533651295833693E-04 +0.0000000000000000E+00
+0.6564292833160667E+03 +0.1572026200346871E-04 +0.0000000000000000E+00
+0.6565199879289333E+03 +0.1611917746783460E-04 +0.0000000000000000E+00
+0.6566106925418001E+03 +0.1653409311730985E-04 +0.0000000000000000E+00
+0.6567013971546667E+03 +0.1696590208937535E-04 +0.0000000000000000E+00
+0.6567921017675334E+03 +0.1741556212566447E-04 +0.0000000000000000E+00
+0.6568828063804001E+03 +0.1788410135760517E-04 +0.0000000000000000E+00
+0.6569735109932667E+03 +0.1837262471369799E-04 +0.0000000000000000E+00
+0.6570642156061334E+03 +0.1888232102675399E-04 +0.0000000000000000E+00
+0.6571549202190000E+03 +0.1941447093079124E-04 +0.0000000000000000E+00
+0.6572456248318667E+03 +0.1997045565054830E-04 +0.0000000000000000E+00
+0.6573363294447333E+03 +0.2055176680204299E-04 +0.0000000000000000E+00
+0.6574270340576001E+03 +0.2116001734075970E-04 +0.0000000000000000E+00
+0.6575177386704668E+03 +0.2179695381532390E-04 +0.0000000000000000E+00
+0.6576084432833334E+03 +0.2246447010961426E-04 +0.0000000000000000E+00
+0.6576991478962001E+03 +0.2316462288587863E-04 +0.0000000000000000E+00
+0.6577898525090667E+03 +0.2389964897651263E-04 +0.0000000000000000E+00
+0.6578805571219333E+03 +0.2467198501386492E-04 +0.0000000000000000E+00
+0.6579712617348000E+03 +0.2548428963713616E-04 +0.0000000000000000E+00
+0.6580619663476667E+03 +0.2633946867494802E-04 +0.0000000000000000E+00
+0.6581526709605334E+03 +0.2724070377354361E-04 +0.0000000000000000E+00
+0.6582433755734000E+03 +0.2819148502665317E-04 +0.0000000000000000E+00
+0.6583340801862668E+03 +0.2919564826716457E-04 +0.0000000000000000E+00
+0.6584247847991334E+03 +0.3025741780720012E-04 +0.0000000000000000E+00
+0.6585154894120000E+03 +0.3138145556749508E-04 +0.0000000000000000E+00
+0.6586061940248667E+03 +0.3257291772603241E-04 +0.0000000000000000E+00
+0.6586968986377334E+03 +0.3383752024878418E-04 +0.0000000000000000E+00
+0.6587876032506001E+03 +0.3518161495362212E-04 +0.0000000000000000E+00
+0.6588783078634667E+03 +0.3661227811728775E-04 +0.0000000000000000E+00
+0.6589690124763333E+03 +0.3813741408463007E-04 +0.0000000000000000E+00
+0.6590597170892000E+03 +0.3976587690572168E-04 +0.0000000000000000E+00
