# Loss function L(Q,w) and dynamical structure factor S(Q,w)
#
# L(Q,w)= -Im(1/eps_m(Q,w) [1]
# S(Q,w)= L(Q,w)*|Q|^2*/(4 pi^2 n_val) [Energy^-1]
#
# Momentum transfer Q=G+q in lattice coordinates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian coordinates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
#   Frequency/(eV/hbar)                  L(Q,w)             S(Q,w)*1000
+0.4081707579000000E+03 +0.1152585843854241E-04 +0.0000000000000000E+00
+0.4082251806677201E+03 +0.1156544732435864E-04 +0.0000000000000000E+00
+0.4082796034354400E+03 +0.1160524245416041E-04 +0.0000000000000000E+00
+0.4083340262031600E+03 +0.1164524527678706E-04 +0.0000000000000000E+00
+0.4083884489708800E+03 +0.1168545725392762E-04 +0.0000000000000000E+00
+0.4084428717386000E+03 +0.1172587986025911E-04 +0.0000000000000000E+00
+0.4084972945063200E+03 +0.1176651458358597E-04 +0.0000000000000000E+00
+0.4085517172740400E+03 +0.1180736292498179E-04 +0.0000000000000000E+00
+0.4086061400417600E+03 +0.1184842639893253E-04 +0.0000000000000000E+00
+0.4086605628094800E+03 +0.1188970653348156E-04 +0.0000000000000000E+00
+0.4087149855772000E+03 +0.1193120487037664E-04 +0.0000000000000000E+00
+0.4087694083449200E+03 +0.1197292296521890E-04 +0.0000000000000000E+00
+0.4088238311126400E+03 +0.1201486238761330E-04 +0.0000000000000000E+00
+0.4088782538803600E+03 +0.1205702472132157E-04 +0.0000000000000000E+00
+0.4089326766480800E+03 +0.1209941156441664E-04 +0.0000000000000000E+00
+0.4089870994158000E+03 +0.1214202452943916E-04 +0.0000000000000000E+00
+0.4090415221835200E+03 +0.1218486524355650E-04 +0.0000000000000000E+00
+0.4090959449512400E+03 +0.1222793534872298E-04 +0.0000000000000000E+00
+0.4091503677189600E+03 +0.1227123650184282E-04 +0.0000000000000000E+00
+0.4092047904866801E+03 +0.1231477037493505E-04 +0.0000000000000000E+00
+0.4092592132544000E+03 +0.1235853865530032E-04 +0.0000000000000000E+00
+0.4093136360221200E+03 +0.1240254304569021E-04 +0.0000000000000000E+00
+0.4093680587898401E+03 +0.1244678526447842E-04 +0.0000000000000000E+00
+0.4094224815575600E+03 +0.1249126704583455E-04 +0.0000000000000000E+00
+0.4094769043252800E+03 +0.1253599013989986E-04 +0.0000000000000000E+00
+0.4095313270930000E+03 +0.1258095631296538E-04 +0.0000000000000000E+00
+0.4095857498607200E+03 +0.1262616734765254E-04 +0.0000000000000000E+00
+0.4096401726284400E+03 +0.1267162504309602E-04 +0.0000000000000000E+00
+0.4096945953961600E+03 +0.1271733121512888E-04 +0.0000000000000000E+00
+0.4097490181638800E+03 +0.1276328769647061E-04 +0.0000000000000000E+00
+0.4098034409316001E+03 +0.1280949633691698E-04 +0.0000000000000000E+00
+0.4098578636993200E+03 +0.1285595900353297E-04 +0.0000000000000000E+00
+0.4099122864670400E+03 +0.1290267758084813E-04 +0.0000000000000000E+00
+0.4099667092347601E+03 +0.1294965397105434E-04 +0.0000000000000000E+00
+0.4100211320024800E+03 +0.1299689009420633E-04 +0.0000000000000000E+00
+0.4100755547702000E+03 +0.1304438788842506E-04 +0.0000000000000000E+00
+0.4101299775379200E+03 +0.1309214931010342E-04 +0.0000000000000000E+00
+0.4101844003056400E+03 +0.1314017633411520E-04 +0.0000000000000000E+00
+0.4102388230733600E+03 +0.1318847095402628E-04 +0.0000000000000000E+00
+0.4102932458410800E+03 +0.1323703518230920E-04 +0.0000000000000000E+00
+0.4103476686088000E+03 +0.1328587105056030E-04 +0.0000000000000000E+00
+0.4104020913765200E+03 +0.1333498060971998E-04 +0.0000000000000000E+00
+0.4104565141442400E+03 +0.1338436593029566E-04 +0.0000000000000000E+00
+0.4105109369119600E+03 +0.1343402910258829E-04 +0.0000000000000000E+00
+0.4105653596796800E+03 +0.1348397223692126E-04 +0.0000000000000000E+00
+0.4106197824474000E+03 +0.1353419746387309E-04 +0.0000000000000000E+00
+0.4106742052151200E+03 +0.1358470693451279E-04 +0.0000000000000000E+00
+0.4107286279828400E+03 +0.1363550282063867E-04 +0.0000000000000000E+00
+0.4107830507505601E+03 +0.1368658731502060E-04 +0.0000000000000000E+00
+0.4108374735182800E+03 +0.1373796263164513E-04 +0.0000000000000000E+00
+0.4108918962860000E+03 +0.1378963100596435E-04 +0.0000000000000000E+00
+0.4109463190537200E+03 +0.1384159469514829E-04 +0.0000000000000000E+00
+0.4110007418214400E+03 +0.1389385597834018E-04 +0.0000000000000000E+00
+0.4110551645891600E+03 +0.1394641715691620E-04 +0.0000000000000000E+00
+0.4111095873568800E+03 +0.1399928055474786E-04 +0.0000000000000000E+00
+0.4111640101246000E+03 +0.1405244851846871E-04 +0.0000000000000000E+00
+0.4112184328923200E+03 +0.1410592341774455E-04 +0.0000000000000000E+00
+0.4112728556600400E+03 +0.1415970764554738E-04 +0.0000000000000000E+00
+0.4113272784277600E+03 +0.1421380361843306E-04 +0.0000000000000000E+00
+0.4113817011954800E+03 +0.1426821377682334E-04 +0.0000000000000000E+00
+0.4114361239632000E+03 +0.1432294058529117E-04 +0.0000000000000000E+00
+0.4114905467309200E+03 +0.1437798653285081E-04 +0.0000000000000000E+00
+0.4115449694986401E+03 +0.1443335413325118E-04 +0.0000000000000000E+00
+0.4115993922663600E+03 +0.1448904592527403E-04 +0.0000000000000000E+00
+0.4116538150340800E+03 +0.1454506447303626E-04 +0.0000000000000000E+00
+0.4117082378018001E+03 +0.1460141236629604E-04 +0.0000000000000000E+00
+0.4117626605695200E+03 +0.1465809222076389E-04 +0.0000000000000000E+00
+0.4118170833372400E+03 +0.1471510667841793E-04 +0.0000000000000000E+00
+0.4118715061049600E+03 +0.1477245840782341E-04 +0.0000000000000000E+00
+0.4119259288726800E+03 +0.1483015010445748E-04 +0.0000000000000000E+00
+0.4119803516404000E+03 +0.1488818449103781E-04 +0.0000000000000000E+00
+0.4120347744081200E+03 +0.1494656431785645E-04 +0.0000000000000000E+00
+0.4120891971758400E+03 +0.1500529236311873E-04 +0.0000000000000000E+00
+0.4121436199435601E+03 +0.1506437143328608E-04 +0.0000000000000000E+00
+0.4121980427112800E+03 +0.1512380436342498E-04 +0.0000000000000000E+00
+0.4122524654790000E+03 +0.1518359401756034E-04 +0.0000000000000000E+00
+0.4123068882467200E+03 +0.1524374328903395E-04 +0.0000000000000000E+00
+0.4123613110144400E+03 +0.1530425510086858E-04 +0.0000000000000000E+00
+0.4124157337821600E+03 +0.1536513240613703E-04 +0.0000000000000000E+00
+0.4124701565498800E+03 +0.1542637818833663E-04 +0.0000000000000000E+00
+0.4125245793176000E+03 +0.1548799546176964E-04 +0.0000000000000000E+00
+0.4125790020853200E+03 +0.1554998727192862E-04 +0.0000000000000000E+00
+0.4126334248530400E+03 +0.1561235669588785E-04 +0.0000000000000000E+00
+0.4126878476207600E+03 +0.1567510684270071E-04 +0.0000000000000000E+00
+0.4127422703884800E+03 +0.1573824085380232E-04 +0.0000000000000000E+00
+0.4127966931562000E+03 +0.1580176190341899E-04 +0.0000000000000000E+00
+0.4128511159239200E+03 +0.1586567319898288E-04 +0.0000000000000000E+00
+0.4129055386916400E+03 +0.1592997798155356E-04 +0.0000000000000000E+00
+0.4129599614593600E+03 +0.1599467952624557E-04 +0.0000000000000000E+00
+0.4130143842270800E+03 +0.1605978114266232E-04 +0.0000000000000000E+00
+0.4130688069948000E+03 +0.1612528617533649E-04 +0.0000000000000000E+00
+0.4131232297625201E+03 +0.1619119800417745E-04 +0.0000000000000000E+00
+0.4131776525302400E+03 +0.1625752004492472E-04 +0.0000000000000000E+00
+0.4132320752979600E+03 +0.1632425574960915E-04 +0.0000000000000000E+00
+0.4132864980656801E+03 +0.1639140860702013E-04 +0.0000000000000000E+00
+0.4133409208334000E+03 +0.1645898214318065E-04 +0.0000000000000000E+00
+0.4133953436011200E+03 +0.1652697992182945E-04 +0.0000000000000000E+00
+0.4134497663688401E+03 +0.1659540554491007E-04 +0.0000000000000000E+00
+0.4135041891365600E+03 +0.1666426265306777E-04 +0.0000000000000000E+00
+0.4135586119042800E+03 +0.1673355492615424E-04 +0.0000000000000000E+00
+0.4136130346720000E+03 +0.1680328608373946E-04 +0.0000000000000000E+00
+0.4136674574397200E+03 +0.1687345988563211E-04 +0.0000000000000000E+00
+0.4137218802074401E+03 +0.1694408013240735E-04 +0.0000000000000000E+00
+0.4137763029751600E+03 +0.1701515066594323E-04 +0.0000000000000000E+00
+0.4138307257428800E+03 +0.1708667536996551E-04 +0.0000000000000000E+00
+0.4138851485106001E+03 +0.1715865817060024E-04 +0.0000000000000000E+00
+0.4139395712783200E+03 +0.1723110303693571E-04 +0.0000000000000000E+00
+0.4139939940460400E+03 +0.1730401398159292E-04 +0.0000000000000000E+00
+0.4140484168137600E+03 +0.1737739506130462E-04 +0.0000000000000000E+00
+0.4141028395814800E+03 +0.1745125037750414E-04 +0.0000000000000000E+00
+0.4141572623492000E+03 +0.1752558407692259E-04 +0.0000000000000000E+00
+0.4142116851169200E+03 +0.1760040035219625E-04 +0.0000000000000000E+00
+0.4142661078846400E+03 +0.1767570344248337E-04 +0.0000000000000000E+00
+0.4143205306523600E+03 +0.1775149763409013E-04 +0.0000000000000000E+00
+0.4143749534200800E+03 +0.1782778726110733E-04 +0.0000000000000000E+00
+0.4144293761878000E+03 +0.1790457670605703E-04 +0.0000000000000000E+00
+0.4144837989555200E+03 +0.1798187040054893E-04 +0.0000000000000000E+00
+0.4145382217232400E+03 +0.1805967282594803E-04 +0.0000000000000000E+00
+0.4145926444909600E+03 +0.1813798851405233E-04 +0.0000000000000000E+00
+0.4146470672586800E+03 +0.1821682204778178E-04 +0.0000000000000000E+00
+0.4147014900264001E+03 +0.1829617806187853E-04 +0.0000000000000000E+00
+0.4147559127941200E+03 +0.1837606124361769E-04 +0.0000000000000000E+00
+0.4148103355618400E+03 +0.1845647633353028E-04 +0.0000000000000000E+00
+0.4148647583295601E+03 +0.1853742812613798E-04 +0.0000000000000000E+00
+0.4149191810972800E+03 +0.1861892147069904E-04 +0.0000000000000000E+00
+0.4149736038650000E+03 +0.1870096127196730E-04 +0.0000000000000000E+00
+0.4150280266327200E+03 +0.1878355249096276E-04 +0.0000000000000000E+00
+0.4150824494004400E+03 +0.1886670014575539E-04 +0.0000000000000000E+00
+0.4151368721681600E+03 +0.1895040931226168E-04 +0.0000000000000000E+00
+0.4151912949358800E+03 +0.1903468512505376E-04 +0.0000000000000000E+00
+0.4152457177036000E+03 +0.1911953277818289E-04 +0.0000000000000000E+00
+0.4153001404713200E+03 +0.1920495752601541E-04 +0.0000000000000000E+00
+0.4153545632390400E+03 +0.1929096468408329E-04 +0.0000000000000000E+00
+0.4154089860067600E+03 +0.1937755962994906E-04 +0.0000000000000000E+00
+0.4154634087744801E+03 +0.1946474780408398E-04 +0.0000000000000000E+00
+0.4155178315422000E+03 +0.1955253471076211E-04 +0.0000000000000000E+00
+0.4155722543099200E+03 +0.1964092591896891E-04 +0.0000000000000000E+00
+0.4156266770776400E+03 +0.1972992706332462E-04 +0.0000000000000000E+00
+0.4156810998453600E+03 +0.1981954384502419E-04 +0.0000000000000000E+00
+0.4157355226130800E+03 +0.1990978203279188E-04 +0.0000000000000000E+00
+0.4157899453808000E+03 +0.2000064746385293E-04 +0.0000000000000000E+00
+0.4158443681485200E+03 +0.2009214604492161E-04 +0.0000000000000000E+00
+0.4158987909162400E+03 +0.2018428375320525E-04 +0.0000000000000000E+00
+0.4159532136839600E+03 +0.2027706663742638E-04 +0.0000000000000000E+00
+0.4160076364516800E+03 +0.2037050081886205E-04 +0.0000000000000000E+00
+0.4160620592194000E+03 +0.2046459249240044E-04 +0.0000000000000000E+00
+0.4161164819871200E+03 +0.2055934792761641E-04 +0.0000000000000000E+00
+0.4161709047548400E+03 +0.2065477346986481E-04 +0.0000000000000000E+00
+0.4162253275225600E+03 +0.2075087554139331E-04 +0.0000000000000000E+00
+0.4162797502902800E+03 +0.2084766064247420E-04 +0.0000000000000000E+00
+0.4163341730580000E+03 +0.2094513535255584E-04 +0.0000000000000000E+00
+0.4163885958257200E+03 +0.2104330633143389E-04 +0.0000000000000000E+00
+0.4164430185934401E+03 +0.2114218032044380E-04 +0.0000000000000000E+00
