# Loss function L(Q,w) and dynamical structure factor S(Q,w)
#
# L(Q,w)= -Im(1/eps_m(Q,w) [1]
# S(Q,w)= L(Q,w)*|Q|^2*/(4 pi^2 n_val) [Energy^-1]
#
# Momentum transfer Q=G+q in lattice coordinates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian coordinates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
#   Frequency/(eV/hbar)                  L(Q,w)             S(Q,w)*1000
+0.6503520742539999E+03 +0.3893580461837655E-03 +0.0000000000000000E+00
+0.6503566094846433E+03 +0.3907602867055392E-03 +0.0000000000000000E+00
+0.6503611447152866E+03 +0.3921708229249713E-03 +0.0000000000000000E+00
+0.6503656799459300E+03 +0.3935897255898916E-03 +0.0000000000000000E+00
+0.6503702151765733E+03 +0.3950170662510572E-03 +0.0000000000000000E+00
+0.6503747504072167E+03 +0.3964529172733895E-03 +0.0000000000000000E+00
+0.6503792856378600E+03 +0.3978973518478858E-03 +0.0000000000000000E+00
+0.6503838208685033E+03 +0.3993504440032525E-03 +0.0000000000000000E+00
+0.6503883560991467E+03 +0.4008122686182336E-03 +0.0000000000000000E+00
+0.6503928913297900E+03 +0.4022829014336543E-03 +0.0000000000000000E+00
+0.6503974265604332E+03 +0.4037624190651494E-03 +0.0000000000000000E+00
+0.6504019617910767E+03 +0.4052508990157994E-03 +0.0000000000000000E+00
+0.6504064970217199E+03 +0.4067484196889850E-03 +0.0000000000000000E+00
+0.6504110322523634E+03 +0.4082550604017938E-03 +0.0000000000000000E+00
+0.6504155674830066E+03 +0.4097709013981787E-03 +0.0000000000000000E+00
+0.6504201027136501E+03 +0.4112960238628727E-03 +0.0000000000000000E+00
+0.6504246379442933E+03 +0.4128305099350237E-03 +0.0000000000000000E+00
+0.6504291731749368E+03 +0.4143744427226057E-03 +0.0000000000000000E+00
+0.6504337084055800E+03 +0.4159279063165551E-03 +0.0000000000000000E+00
+0.6504382436362233E+03 +0.4174909858056632E-03 +0.0000000000000000E+00
+0.6504427788668667E+03 +0.4190637672914023E-03 +0.0000000000000000E+00
+0.6504473140975100E+03 +0.4206463379030190E-03 +0.0000000000000000E+00
+0.6504518493281533E+03 +0.4222387858132438E-03 +0.0000000000000000E+00
+0.6504563845587967E+03 +0.4238412002537737E-03 +0.0000000000000000E+00
+0.6504609197894400E+03 +0.4254536715315867E-03 +0.0000000000000000E+00
+0.6504654550200834E+03 +0.4270762910450068E-03 +0.0000000000000000E+00
+0.6504699902507267E+03 +0.4287091513006147E-03 +0.0000000000000000E+00
+0.6504745254813701E+03 +0.4303523459299181E-03 +0.0000000000000000E+00
+0.6504790607120133E+03 +0.4320059697068540E-03 +0.0000000000000000E+00
+0.6504835959426567E+03 +0.4336701185652634E-03 +0.0000000000000000E+00
+0.6504881311733000E+03 +0.4353448896166958E-03 +0.0000000000000000E+00
+0.6504926664039433E+03 +0.4370303811688976E-03 +0.0000000000000000E+00
+0.6504972016345866E+03 +0.4387266927441147E-03 +0.0000000000000000E+00
+0.6505017368652300E+03 +0.4404339250983162E-03 +0.0000000000000000E+00
+0.6505062720958733E+03 +0.4421521802401945E-03 +0.0000000000000000E+00
+0.6505108073265167E+03 +0.4438815614511214E-03 +0.0000000000000000E+00
+0.6505153425571600E+03 +0.4456221733048856E-03 +0.0000000000000000E+00
+0.6505198777878032E+03 +0.4473741216883674E-03 +0.0000000000000000E+00
