# Loss function L(Q,w) and dynamical structure factor S(Q,w)
#
# L(Q,w)= -Im(1/eps_m(Q,w) [1]
# S(Q,w)= L(Q,w)*|Q|^2*/(4 pi^2 n_val) [Energy^-1]
#
# Momentum transfer Q=G+q in lattice coordinates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian coordinates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
#   Frequency/(eV/hbar)                  L(Q,w)             S(Q,w)*1000
+0.8163415157999999E+01 +0.5225749070416494E-02 +0.0000000000000000E+00
+0.8179288465251666E+01 +0.5249460754686902E-02 +0.0000000000000000E+00
+0.8195161772503333E+01 +0.5273322588510326E-02 +0.0000000000000000E+00
+0.8211035079755000E+01 +0.5297336125814471E-02 +0.0000000000000000E+00
+0.8226908387006667E+01 +0.5321502941757308E-02 +0.0000000000000000E+00
+0.8242781694258333E+01 +0.5345824633091127E-02 +0.0000000000000000E+00
+0.8258655001510000E+01 +0.5370302818534243E-02 +0.0000000000000000E+00
+0.8274528308761667E+01 +0.5394939139150279E-02 +0.0000000000000000E+00
+0.8290401616013334E+01 +0.5419735258735332E-02 +0.0000000000000000E+00
+0.8306274923264999E+01 +0.5444692864213094E-02 +0.0000000000000000E+00
+0.8322148230516667E+01 +0.5469813666038281E-02 +0.0000000000000000E+00
+0.8338021537768334E+01 +0.5495099398608412E-02 +0.0000000000000000E+00
+0.8353894845020001E+01 +0.5520551820684260E-02 +0.0000000000000000E+00
+0.8369768152271666E+01 +0.5546172715819118E-02 +0.0000000000000000E+00
+0.8385641459523333E+01 +0.5571963892797115E-02 +0.0000000000000000E+00
+0.8401514766775000E+01 +0.5597927186080822E-02 +0.0000000000000000E+00
+0.8417388074026668E+01 +0.5624064456268341E-02 +0.0000000000000000E+00
+0.8433261381278333E+01 +0.5650377590560115E-02 +0.0000000000000000E+00
+0.8449134688530000E+01 +0.5676868503235814E-02 +0.0000000000000000E+00
+0.8465007995781667E+01 +0.5703539136141300E-02 +0.0000000000000000E+00
+0.8480881303033334E+01 +0.5730391459186175E-02 +0.0000000000000000E+00
+0.8496754610285000E+01 +0.5757427470852099E-02 +0.0000000000000000E+00
+0.8512627917536665E+01 +0.5784649198711991E-02 +0.0000000000000000E+00
+0.8528501224788334E+01 +0.5812058699960702E-02 +0.0000000000000000E+00
+0.8544374532040001E+01 +0.5839658061957074E-02 +0.0000000000000000E+00
+0.8560247839291668E+01 +0.5867449402778075E-02 +0.0000000000000000E+00
+0.8576121146543333E+01 +0.5895434871784948E-02 +0.0000000000000000E+00
+0.8591994453794999E+01 +0.5923616650201894E-02 +0.0000000000000000E+00
+0.8607867761046666E+01 +0.5951996951707682E-02 +0.0000000000000000E+00
+0.8623741068298333E+01 +0.5980578023040166E-02 +0.0000000000000000E+00
+0.8639614375550000E+01 +0.6009362144614521E-02 +0.0000000000000000E+00
+0.8655487682801667E+01 +0.6038351631155117E-02 +0.0000000000000000E+00
+0.8671360990053333E+01 +0.6067548832341733E-02 +0.0000000000000000E+00
+0.8687234297305000E+01 +0.6096956133470229E-02 +0.0000000000000000E+00
+0.8703107604556667E+01 +0.6126575956128193E-02 +0.0000000000000000E+00
+0.8718980911808334E+01 +0.6156410758885941E-02 +0.0000000000000000E+00
+0.8734854219060001E+01 +0.6186463038003241E-02 +0.0000000000000000E+00
+0.8750727526311668E+01 +0.6216735328152178E-02 +0.0000000000000000E+00
+0.8766600833563334E+01 +0.6247230203156649E-02 +0.0000000000000000E+00
+0.8782474140814999E+01 +0.6277950276748854E-02 +0.0000000000000000E+00
+0.8798347448066666E+01 +0.6308898203343325E-02 +0.0000000000000000E+00
+0.8814220755318333E+01 +0.6340076678828783E-02 +0.0000000000000000E+00
+0.8830094062570002E+01 +0.6371488441378690E-02 +0.0000000000000000E+00
+0.8845967369821667E+01 +0.6403136272280391E-02 +0.0000000000000000E+00
+0.8861840677073333E+01 +0.6435022996784114E-02 +0.0000000000000000E+00
+0.8877713984325000E+01 +0.6467151484971624E-02 +0.0000000000000000E+00
+0.8893587291576667E+01 +0.6499524652645607E-02 +0.0000000000000000E+00
+0.8909460598828334E+01 +0.6532145462240079E-02 +0.0000000000000000E+00
+0.8925333906079999E+01 +0.6565016923752560E-02 +0.0000000000000000E+00
+0.8941207213331667E+01 +0.6598142095698450E-02 +0.0000000000000000E+00
+0.8957080520583334E+01 +0.6631524086088308E-02 +0.0000000000000000E+00
+0.8972953827835001E+01 +0.6665166053428822E-02 +0.0000000000000000E+00
+0.8988827135086666E+01 +0.6699071207747796E-02 +0.0000000000000000E+00
+0.9004700442338333E+01 +0.6733242811644219E-02 +0.0000000000000000E+00
+0.9020573749590001E+01 +0.6767684181363712E-02 +0.0000000000000000E+00
+0.9036447056841668E+01 +0.6802398687900524E-02 +0.0000000000000000E+00
+0.9052320364093333E+01 +0.6837389758126458E-02 +0.0000000000000000E+00
+0.9068193671345000E+01 +0.6872660875947656E-02 +0.0000000000000000E+00
