# Loss function L(Q,w) and dynamical structure factor S(Q,w)
#
# L(Q,w)= -Im(1/eps_m(Q,w) [1]
# S(Q,w)= L(Q,w)*|Q|^2*/(4 pi^2 n_val) [Energy^-1]
#
# Momentum transfer Q=G+q in lattice coordinates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian coordinates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
#   Frequency/(eV/hbar)                  L(Q,w)             S(Q,w)*1000
+0.0000000000000000E+00 -0.9412961024664409E-21 +0.0000000000000000E+00
+0.3628184514666666E-01 +0.4844702143843816E-04 +0.0000000000000000E+00
+0.7256369029333333E-01 +0.9692198993779873E-04 +0.0000000000000000E+00
+0.1088455354400000E+00 +0.1454529197361803E-03 +0.0000000000000000E+00
+0.1451273805866667E+00 +0.1940679598063319E-03 +0.0000000000000000E+00
+0.1814092257333333E+00 +0.2427954621774055E-03 +0.0000000000000000E+00
+0.2176910708800000E+00 +0.2916640514133357E-03 +0.0000000000000000E+00
+0.2539729160266667E+00 +0.3407026956518146E-03 +0.0000000000000000E+00
+0.2902547611733333E+00 +0.3899407796245479E-03 +0.0000000000000000E+00
+0.3265366063200000E+00 +0.4394081801003567E-03 +0.0000000000000000E+00
+0.3628184514666666E+00 +0.4891353442185089E-03 +0.0000000000000000E+00
+0.3991002966133333E+00 +0.5391533712113578E-03 +0.0000000000000000E+00
+0.4353821417600000E+00 +0.5894940980526186E-03 +0.0000000000000000E+00
+0.4716639869066667E+00 +0.6401901896107552E-03 +0.0000000000000000E+00
+0.5079458320533333E+00 +0.6912752339398576E-03 +0.0000000000000000E+00
+0.5442276772000001E+00 +0.7427838433981680E-03 +0.0000000000000000E+00
+0.5805095223466666E+00 +0.7947517623548654E-03 +0.0000000000000000E+00
+0.6167913674933333E+00 +0.8472159823251265E-03 +0.0000000000000000E+00
+0.6530732126400001E+00 +0.9002148654654442E-03 +0.0000000000000000E+00
+0.6893550577866667E+00 +0.9537882774679220E-03 +0.0000000000000000E+00
+0.7256369029333333E+00 +0.1007977731014776E-02 +0.0000000000000000E+00
+0.7619187480800000E+00 +0.1062826541096785E-02 +0.0000000000000000E+00
+0.7982005932266667E+00 +0.1118379993662548E-02 +0.0000000000000000E+00
+0.8344824383733334E+00 +0.1174685529255524E-02 +0.0000000000000000E+00
+0.8707642835200000E+00 +0.1231792943516881E-02 +0.0000000000000000E+00
+0.9070461286666667E+00 +0.1289754606686359E-02 +0.0000000000000000E+00
+0.9433279738133333E+00 +0.1348625704532670E-02 +0.0000000000000000E+00
+0.9796098189600000E+00 +0.1408464503491541E-02 +0.0000000000000000E+00
+0.1015891664106667E+01 +0.1469332643195743E-02 +0.0000000000000000E+00
+0.1052173509253334E+01 +0.1531295460059760E-02 +0.0000000000000000E+00
+0.1088455354400000E+01 +0.1594422346139161E-02 +0.0000000000000000E+00
+0.1124737199546667E+01 +0.1658787148149943E-02 +0.0000000000000000E+00
+0.1161019044693333E+01 +0.1724468612311526E-02 +0.0000000000000000E+00
+0.1197300889840000E+01 +0.1791550881607466E-02 +0.0000000000000000E+00
+0.1233582734986667E+01 +0.1860124053164469E-02 +0.0000000000000000E+00
+0.1269864580133333E+01 +0.1930284804767592E-02 +0.0000000000000000E+00
+0.1306146425280000E+01 +0.2002137101119317E-02 +0.0000000000000000E+00
+0.1342428270426667E+01 +0.2075792992353791E-02 +0.0000000000000000E+00
+0.1378710115573333E+01 +0.2151373519626729E-02 +0.0000000000000000E+00
+0.1414991960720000E+01 +0.2229009745400082E-02 +0.0000000000000000E+00
+0.1451273805866667E+01 +0.2308843929454247E-02 +0.0000000000000000E+00
+0.1487555651013333E+01 +0.2391030875840281E-02 +0.0000000000000000E+00
+0.1523837496160000E+01 +0.2475739481130745E-02 +0.0000000000000000E+00
+0.1560119341306667E+01 +0.2563154520686400E-02 +0.0000000000000000E+00
+0.1596401186453333E+01 +0.2653478717568534E-02 +0.0000000000000000E+00
+0.1632683031600000E+01 +0.2746935148605379E-02 +0.0000000000000000E+00
+0.1668964876746667E+01 +0.2843770054554003E-02 +0.0000000000000000E+00
+0.1705246721893333E+01 +0.2944256137007148E-02 +0.0000000000000000E+00
+0.1741528567040000E+01 +0.3048696444693689E-02 +0.0000000000000000E+00
+0.1777810412186667E+01 +0.3157428977440165E-02 +0.0000000000000000E+00
+0.1814092257333333E+01 +0.3270832169113468E-02 +0.0000000000000000E+00
+0.1850374102480000E+01 +0.3389331453805256E-02 +0.0000000000000000E+00
+0.1886655947626667E+01 +0.3513407175787214E-02 +0.0000000000000000E+00
+0.1922937792773334E+01 +0.3643604178033280E-02 +0.0000000000000000E+00
+0.1959219637920000E+01 +0.3780543503073548E-02 +0.0000000000000000E+00
