# Loss function L(Q,w) and dynamical structure factor S(Q,w)
#
# L(Q,w)= -Im(1/eps_m(Q,w) [1]
# S(Q,w)= L(Q,w)*|Q|^2*/(4 pi^2 n_val) [Energy^-1]
#
# Momentum transfer Q=G+q in lattice coordinates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian coordinates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
#   Frequency/(eV/hbar)                  L(Q,w)             S(Q,w)*1000
+0.8163415157999999E+01 +0.5225749055331946E-02 +0.0000000000000000E+00
+0.8179288465251666E+01 +0.5249460739494945E-02 +0.0000000000000000E+00
+0.8195161772503333E+01 +0.5273322573210414E-02 +0.0000000000000000E+00
+0.8211035079755000E+01 +0.5297336110406069E-02 +0.0000000000000000E+00
+0.8226908387006667E+01 +0.5321502926239865E-02 +0.0000000000000000E+00
+0.8242781694258333E+01 +0.5345824617464093E-02 +0.0000000000000000E+00
+0.8258655001510000E+01 +0.5370302802797076E-02 +0.0000000000000000E+00
+0.8274528308761667E+01 +0.5394939123302451E-02 +0.0000000000000000E+00
+0.8290401616013334E+01 +0.5419735242776292E-02 +0.0000000000000000E+00
+0.8306274923264999E+01 +0.5444692848142316E-02 +0.0000000000000000E+00
+0.8322148230516667E+01 +0.5469813649855229E-02 +0.0000000000000000E+00
+0.8338021537768334E+01 +0.5495099382312558E-02 +0.0000000000000000E+00
+0.8353894845020001E+01 +0.5520551804275069E-02 +0.0000000000000000E+00
+0.8369768152271666E+01 +0.5546172699296071E-02 +0.0000000000000000E+00
+0.8385641459523333E+01 +0.5571963876159682E-02 +0.0000000000000000E+00
+0.8401514766775000E+01 +0.5597927169328481E-02 +0.0000000000000000E+00
+0.8417388074026668E+01 +0.5624064439400575E-02 +0.0000000000000000E+00
+0.8433261381278333E+01 +0.5650377573576417E-02 +0.0000000000000000E+00
+0.8449134688530000E+01 +0.5676868486135670E-02 +0.0000000000000000E+00
+0.8465007995781667E+01 +0.5703539118924189E-02 +0.0000000000000000E+00
+0.8480881303033334E+01 +0.5730391441851616E-02 +0.0000000000000000E+00
+0.8496754610285000E+01 +0.5757427453399582E-02 +0.0000000000000000E+00
+0.8512627917536665E+01 +0.5784649181141032E-02 +0.0000000000000000E+00
+0.8528501224788334E+01 +0.5812058682270785E-02 +0.0000000000000000E+00
+0.8544374532040001E+01 +0.5839658044147740E-02 +0.0000000000000000E+00
+0.8560247839291668E+01 +0.5867449384848842E-02 +0.0000000000000000E+00
+0.8576121146543333E+01 +0.5895434853735322E-02 +0.0000000000000000E+00
+0.8591994453794999E+01 +0.5923616632031441E-02 +0.0000000000000000E+00
+0.8607867761046666E+01 +0.5951996933415913E-02 +0.0000000000000000E+00
+0.8623741068298333E+01 +0.5980578004626634E-02 +0.0000000000000000E+00
+0.8639614375550000E+01 +0.6009362126078773E-02 +0.0000000000000000E+00
+0.8655487682801667E+01 +0.6038351612496717E-02 +0.0000000000000000E+00
+0.8671360990053333E+01 +0.6067548813560242E-02 +0.0000000000000000E+00
+0.8687234297305000E+01 +0.6096956114565226E-02 +0.0000000000000000E+00
+0.8703107604556667E+01 +0.6126575937099258E-02 +0.0000000000000000E+00
+0.8718980911808334E+01 +0.6156410739732663E-02 +0.0000000000000000E+00
+0.8734854219060001E+01 +0.6186463018725214E-02 +0.0000000000000000E+00
+0.8750727526311668E+01 +0.6216735308749001E-02 +0.0000000000000000E+00
+0.8766600833563334E+01 +0.6247230183627954E-02 +0.0000000000000000E+00
+0.8782474140814999E+01 +0.6277950257094269E-02 +0.0000000000000000E+00
+0.8798347448066666E+01 +0.6308898183562466E-02 +0.0000000000000000E+00
+0.8814220755318333E+01 +0.6340076658921331E-02 +0.0000000000000000E+00
+0.8830094062570002E+01 +0.6371488421344274E-02 +0.0000000000000000E+00
+0.8845967369821667E+01 +0.6403136252118706E-02 +0.0000000000000000E+00
+0.8861840677073333E+01 +0.6435022976494833E-02 +0.0000000000000000E+00
+0.8877713984325000E+01 +0.6467151464554441E-02 +0.0000000000000000E+00
+0.8893587291576667E+01 +0.6499524632100221E-02 +0.0000000000000000E+00
+0.8909460598828334E+01 +0.6532145441566238E-02 +0.0000000000000000E+00
+0.8925333906079999E+01 +0.6565016902949989E-02 +0.0000000000000000E+00
+0.8941207213331667E+01 +0.6598142074766887E-02 +0.0000000000000000E+00
+0.8957080520583334E+01 +0.6631524065027539E-02 +0.0000000000000000E+00
+0.8972953827835001E+01 +0.6665166032238620E-02 +0.0000000000000000E+00
+0.8988827135086666E+01 +0.6699071186427975E-02 +0.0000000000000000E+00
+0.9004700442338333E+01 +0.6733242790194579E-02 +0.0000000000000000E+00
+0.9020573749590001E+01 +0.6767684159784104E-02 +0.0000000000000000E+00
+0.9036447056841668E+01 +0.6802398666190805E-02 +0.0000000000000000E+00
+0.9052320364093333E+01 +0.6837389736286493E-02 +0.0000000000000000E+00
+0.9068193671345000E+01 +0.6872660853977326E-02 +0.0000000000000000E+00
+0.9084066978596667E+01 +0.6908215561389311E-02 +0.0000000000000000E+00
+0.9099940285848334E+01 +0.6944057460083133E-02 +0.0000000000000000E+00
+0.9115813593100000E+01 +0.6980190212299474E-02 +0.0000000000000000E+00
+0.9131686900351667E+01 +0.7016617542235480E-02 +0.0000000000000000E+00
+0.9147560207603334E+01 +0.7053343237353240E-02 +0.0000000000000000E+00
+0.9163433514855001E+01 +0.7090371149721473E-02 +0.0000000000000000E+00
+0.9179306822106668E+01 +0.7127705197391164E-02 +0.0000000000000000E+00
+0.9195180129358333E+01 +0.7165349365806225E-02 +0.0000000000000000E+00
+0.9211053436609999E+01 +0.7203307709250260E-02 +0.0000000000000000E+00
+0.9226926743861666E+01 +0.7241584352330408E-02 +0.0000000000000000E+00
+0.9242800051113335E+01 +0.7280183491499585E-02 +0.0000000000000000E+00
+0.9258673358365000E+01 +0.7319109396617871E-02 +0.0000000000000000E+00
+0.9274546665616667E+01 +0.7358366412554804E-02 +0.0000000000000000E+00
+0.9290419972868333E+01 +0.7397958960833209E-02 +0.0000000000000000E+00
+0.9306293280120000E+01 +0.7437891541316280E-02 +0.0000000000000000E+00
+0.9322166587371667E+01 +0.7478168733938979E-02 +0.0000000000000000E+00
+0.9338039894623332E+01 +0.7518795200485250E-02 +0.0000000000000000E+00
+0.9353913201875001E+01 +0.7559775686412367E-02 +0.0000000000000000E+00
+0.9369786509126667E+01 +0.7601115022723858E-02 +0.0000000000000000E+00
+0.9385659816378334E+01 +0.7642818127892718E-02 +0.0000000000000000E+00
+0.9401533123629999E+01 +0.7684890009836123E-02 +0.0000000000000000E+00
+0.9417406430881666E+01 +0.7727335767943563E-02 +0.0000000000000000E+00
+0.9433279738133335E+01 +0.7770160595159980E-02 +0.0000000000000000E+00
+0.9449153045385001E+01 +0.7813369780125522E-02 +0.0000000000000000E+00
+0.9465026352636666E+01 +0.7856968709373927E-02 +0.0000000000000000E+00
+0.9480899659888333E+01 +0.7900962869591209E-02 +0.0000000000000000E+00
+0.9496772967140000E+01 +0.7945357849936704E-02 +0.0000000000000000E+00
+0.9512646274391667E+01 +0.7990159344428410E-02 +0.0000000000000000E+00
+0.9528519581643332E+01 +0.8035373154394634E-02 +0.0000000000000000E+00
+0.9544392888895000E+01 +0.8081005190994313E-02 +0.0000000000000000E+00
+0.9560266196146667E+01 +0.8127061477808072E-02 +0.0000000000000000E+00
+0.9576139503398334E+01 +0.8173548153502148E-02 +0.0000000000000000E+00
+0.9592012810649999E+01 +0.8220471474568114E-02 +0.0000000000000000E+00
+0.9607886117901666E+01 +0.8267837818140313E-02 +0.0000000000000000E+00
+0.9623759425153333E+01 +0.8315653684893964E-02 +0.0000000000000000E+00
+0.9639632732405000E+01 +0.8363925702026428E-02 +0.0000000000000000E+00
+0.9655506039656668E+01 +0.8412660626324509E-02 +0.0000000000000000E+00
+0.9671379346908333E+01 +0.8461865347320581E-02 +0.0000000000000000E+00
+0.9687252654160000E+01 +0.8511546890540803E-02 +0.0000000000000000E+00
+0.9703125961411667E+01 +0.8561712420847967E-02 +0.0000000000000000E+00
+0.9718999268663334E+01 +0.8612369245883069E-02 +0.0000000000000000E+00
+0.9734872575915000E+01 +0.8663524819607950E-02 +0.0000000000000000E+00
+0.9750745883166667E+01 +0.8715186745953406E-02 +0.0000000000000000E+00
+0.9766619190418334E+01 +0.8767362782575949E-02 +0.0000000000000000E+00
+0.9782492497670001E+01 +0.8820060844726821E-02 +0.0000000000000000E+00
+0.9798365804921666E+01 +0.8873289009237655E-02 +0.0000000000000000E+00
+0.9814239112173333E+01 +0.8927055518626534E-02 +0.0000000000000000E+00
+0.9830112419424999E+01 +0.8981368785328712E-02 +0.0000000000000000E+00
+0.9845985726676668E+01 +0.9036237396056492E-02 +0.0000000000000000E+00
+0.9861859033928333E+01 +0.9091670116292840E-02 +0.0000000000000000E+00
