# Loss function L(Q,w) and dynamical structure factor S(Q,w)
#
# L(Q,w)= -Im(1/eps_m(Q,w) [1]
# S(Q,w)= L(Q,w)*|Q|^2*/(4 pi^2 n_val) [Energy^-1]
#
# Momentum transfer Q=G+q in lattice coordinates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian coordinates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
#   Frequency/(eV/hbar)                  L(Q,w)             S(Q,w)*1000
+0.6530732126400001E+03 +0.7463389512241640E-05 +0.0000000000000000E+00
+0.6530913535625734E+03 +0.7488167096745806E-05 +0.0000000000000000E+00
+0.6531094944851468E+03 +0.7513071367418666E-05 +0.0000000000000000E+00
+0.6531276354077200E+03 +0.7538103206517435E-05 +0.0000000000000000E+00
+0.6531457763302934E+03 +0.7563263504113520E-05 +0.0000000000000000E+00
+0.6531639172528667E+03 +0.7588553158175931E-05 +0.0000000000000000E+00
+0.6531820581754400E+03 +0.7613973074657103E-05 +0.0000000000000000E+00
+0.6532001990980133E+03 +0.7639524167579003E-05 +0.0000000000000000E+00
+0.6532183400205867E+03 +0.7665207359121195E-05 +0.0000000000000000E+00
+0.6532364809431600E+03 +0.7691023579708547E-05 +0.0000000000000000E+00
+0.6532546218657334E+03 +0.7716973768101647E-05 +0.0000000000000000E+00
+0.6532727627883066E+03 +0.7743058871487289E-05 +0.0000000000000000E+00
+0.6532909037108800E+03 +0.7769279845571161E-05 +0.0000000000000000E+00
+0.6533090446334534E+03 +0.7795637654670255E-05 +0.0000000000000000E+00
+0.6533271855560267E+03 +0.7822133271807904E-05 +0.0000000000000000E+00
+0.6533453264786001E+03 +0.7848767678809237E-05 +0.0000000000000000E+00
+0.6533634674011734E+03 +0.7875541866398053E-05 +0.0000000000000000E+00
+0.6533816083237467E+03 +0.7902456834295527E-05 +0.0000000000000000E+00
+0.6533997492463201E+03 +0.7929513591318801E-05 +0.0000000000000000E+00
+0.6534178901688935E+03 +0.7956713155482367E-05 +0.0000000000000000E+00
+0.6534360310914667E+03 +0.7984056554099789E-05 +0.0000000000000000E+00
+0.6534541720140401E+03 +0.8011544823887738E-05 +0.0000000000000000E+00
+0.6534723129366133E+03 +0.8039179011069848E-05 +0.0000000000000000E+00
+0.6534904538591867E+03 +0.8066960171483531E-05 +0.0000000000000000E+00
+0.6535085947817599E+03 +0.8094889370687143E-05 +0.0000000000000000E+00
+0.6535267357043333E+03 +0.8122967684069588E-05 +0.0000000000000000E+00
+0.6535448766269067E+03 +0.8151196196959826E-05 +0.0000000000000000E+00
+0.6535630175494800E+03 +0.8179576004739332E-05 +0.0000000000000000E+00
+0.6535811584720534E+03 +0.8208108212955354E-05 +0.0000000000000000E+00
+0.6535992993946267E+03 +0.8236793937435594E-05 +0.0000000000000000E+00
+0.6536174403172000E+03 +0.8265634304405217E-05 +0.0000000000000000E+00
+0.6536355812397734E+03 +0.8294630450603875E-05 +0.0000000000000000E+00
+0.6536537221623468E+03 +0.8323783523405971E-05 +0.0000000000000000E+00
+0.6536718630849200E+03 +0.8353094680941350E-05 +0.0000000000000000E+00
+0.6536900040074934E+03 +0.8382565092218772E-05 +0.0000000000000000E+00
+0.6537081449300667E+03 +0.8412195937249414E-05 +0.0000000000000000E+00
+0.6537262858526401E+03 +0.8441988407173568E-05 +0.0000000000000000E+00
+0.6537444267752135E+03 +0.8471943704388306E-05 +0.0000000000000000E+00
+0.6537625676977867E+03 +0.8502063042676949E-05 +0.0000000000000000E+00
+0.6537807086203601E+03 +0.8532347647340856E-05 +0.0000000000000000E+00
+0.6537988495429333E+03 +0.8562798755331724E-05 +0.0000000000000000E+00
+0.6538169904655067E+03 +0.8593417615387076E-05 +0.0000000000000000E+00
+0.6538351313880800E+03 +0.8624205488166688E-05 +0.0000000000000000E+00
+0.6538532723106533E+03 +0.8655163646391889E-05 +0.0000000000000000E+00
+0.6538714132332267E+03 +0.8686293374985151E-05 +0.0000000000000000E+00
+0.6538895541558001E+03 +0.8717595971213147E-05 +0.0000000000000000E+00
+0.6539076950783733E+03 +0.8749072744830939E-05 +0.0000000000000000E+00
+0.6539258360009467E+03 +0.8780725018228997E-05 +0.0000000000000000E+00
+0.6539439769235200E+03 +0.8812554126580751E-05 +0.0000000000000000E+00
+0.6539621178460934E+03 +0.8844561417993673E-05 +0.0000000000000000E+00
+0.6539802587686668E+03 +0.8876748253661831E-05 +0.0000000000000000E+00
+0.6539983996912400E+03 +0.8909116008020416E-05 +0.0000000000000000E+00
+0.6540165406138134E+03 +0.8941666068903287E-05 +0.0000000000000000E+00
+0.6540346815363868E+03 +0.8974399837701098E-05 +0.0000000000000000E+00
+0.6540528224589601E+03 +0.9007318729523321E-05 +0.0000000000000000E+00
+0.6540709633815334E+03 +0.9040424173361445E-05 +0.0000000000000000E+00
+0.6540891043041067E+03 +0.9073717612255639E-05 +0.0000000000000000E+00
+0.6541072452266800E+03 +0.9107200503461886E-05 +0.0000000000000000E+00
+0.6541253861492534E+03 +0.9140874318623374E-05 +0.0000000000000000E+00
+0.6541435270718266E+03 +0.9174740543943110E-05 +0.0000000000000000E+00
+0.6541616679944000E+03 +0.9208800680360237E-05 +0.0000000000000000E+00
+0.6541798089169733E+03 +0.9243056243726855E-05 +0.0000000000000000E+00
+0.6541979498395467E+03 +0.9277508764989328E-05 +0.0000000000000000E+00
+0.6542160907621201E+03 +0.9312159790371302E-05 +0.0000000000000000E+00
+0.6542342316846933E+03 +0.9347010881559079E-05 +0.0000000000000000E+00
+0.6542523726072667E+03 +0.9382063615890997E-05 +0.0000000000000000E+00
+0.6542705135298401E+03 +0.9417319586547281E-05 +0.0000000000000000E+00
+0.6542886544524134E+03 +0.9452780402744743E-05 +0.0000000000000000E+00
+0.6543067953749867E+03 +0.9488447689933076E-05 +0.0000000000000000E+00
+0.6543249362975600E+03 +0.9524323089995180E-05 +0.0000000000000000E+00
+0.6543430772201334E+03 +0.9560408261448401E-05 +0.0000000000000000E+00
+0.6543612181427068E+03 +0.9596704879650743E-05 +0.0000000000000000E+00
+0.6543793590652801E+03 +0.9633214637008973E-05 +0.0000000000000000E+00
+0.6543974999878534E+03 +0.9669939243189976E-05 +0.0000000000000000E+00
+0.6544156409104266E+03 +0.9706880425335933E-05 +0.0000000000000000E+00
+0.6544337818330000E+03 +0.9744039928280893E-05 +0.0000000000000000E+00
+0.6544519227555734E+03 +0.9781419514772398E-05 +0.0000000000000000E+00
+0.6544700636781466E+03 +0.9819020965695229E-05 +0.0000000000000000E+00
+0.6544882046007200E+03 +0.9856846080299675E-05 +0.0000000000000000E+00
+0.6545063455232934E+03 +0.9894896676431182E-05 +0.0000000000000000E+00
+0.6545244864458667E+03 +0.9933174590765278E-05 +0.0000000000000000E+00
+0.6545426273684400E+03 +0.9971681679045009E-05 +0.0000000000000000E+00
+0.6545607682910133E+03 +0.1001041981632306E-04 +0.0000000000000000E+00
+0.6545789092135867E+03 +0.1004939089720530E-04 +0.0000000000000000E+00
+0.6545970501361601E+03 +0.1008859683610023E-04 +0.0000000000000000E+00
+0.6546151910587334E+03 +0.1012803956747111E-04 +0.0000000000000000E+00
+0.6546333319813067E+03 +0.1016772104609173E-04 +0.0000000000000000E+00
+0.6546514729038801E+03 +0.1020764324730733E-04 +0.0000000000000000E+00
+0.6546696138264534E+03 +0.1024780816729708E-04 +0.0000000000000000E+00
+0.6546877547490268E+03 +0.1028821782334296E-04 +0.0000000000000000E+00
+0.6547058956716000E+03 +0.1032887425410119E-04 +0.0000000000000000E+00
+0.6547240365941734E+03 +0.1036977951987924E-04 +0.0000000000000000E+00
+0.6547421775167467E+03 +0.1041093570291480E-04 +0.0000000000000000E+00
+0.6547603184393200E+03 +0.1045234490766127E-04 +0.0000000000000000E+00
+0.6547784593618933E+03 +0.1049400926107634E-04 +0.0000000000000000E+00
+0.6547966002844666E+03 +0.1053593091291625E-04 +0.0000000000000000E+00
+0.6548147412070400E+03 +0.1057811203603234E-04 +0.0000000000000000E+00
+0.6548328821296134E+03 +0.1062055482667453E-04 +0.0000000000000000E+00
+0.6548510230521867E+03 +0.1066326150479832E-04 +0.0000000000000000E+00
+0.6548691639747600E+03 +0.1070623431437650E-04 +0.0000000000000000E+00
+0.6548873048973334E+03 +0.1074947552371701E-04 +0.0000000000000000E+00
+0.6549054458199067E+03 +0.1079298742578316E-04 +0.0000000000000000E+00
+0.6549235867424801E+03 +0.1083677233852154E-04 +0.0000000000000000E+00
+0.6549417276650533E+03 +0.1088083260519336E-04 +0.0000000000000000E+00
+0.6549598685876267E+03 +0.1092517059471260E-04 +0.0000000000000000E+00
+0.6549780095102001E+03 +0.1096978870198703E-04 +0.0000000000000000E+00
+0.6549961504327734E+03 +0.1101468934826697E-04 +0.0000000000000000E+00
+0.6550142913553467E+03 +0.1105987498149821E-04 +0.0000000000000000E+00
+0.6550324322779201E+03 +0.1110534807668196E-04 +0.0000000000000000E+00
+0.6550505732004933E+03 +0.1115111113623795E-04 +0.0000000000000000E+00
+0.6550687141230667E+03 +0.1119716669037598E-04 +0.0000000000000000E+00
+0.6550868550456400E+03 +0.1124351729747205E-04 +0.0000000000000000E+00
+0.6551049959682133E+03 +0.1129016554445049E-04 +0.0000000000000000E+00
+0.6551231368907867E+03 +0.1133711404717354E-04 +0.0000000000000000E+00
+0.6551412778133600E+03 +0.1138436545083465E-04 +0.0000000000000000E+00
+0.6551594187359334E+03 +0.1143192243036072E-04 +0.0000000000000000E+00
+0.6551775596585067E+03 +0.1147978769081907E-04 +0.0000000000000000E+00
+0.6551957005810800E+03 +0.1152796396783306E-04 +0.0000000000000000E+00
+0.6552138415036534E+03 +0.1157645402800120E-04 +0.0000000000000000E+00
+0.6552319824262268E+03 +0.1162526066932627E-04 +0.0000000000000000E+00
+0.6552501233488000E+03 +0.1167438672164958E-04 +0.0000000000000000E+00
+0.6552682642713734E+03 +0.1172383504709399E-04 +0.0000000000000000E+00
+0.6552864051939467E+03 +0.1177360854051159E-04 +0.0000000000000000E+00
+0.6553045461165201E+03 +0.1182371012994127E-04 +0.0000000000000000E+00
+0.6553226870390935E+03 +0.1187414277707276E-04 +0.0000000000000000E+00
+0.6553408279616667E+03 +0.1192490947771797E-04 +0.0000000000000000E+00
+0.6553589688842400E+03 +0.1197601326229198E-04 +0.0000000000000000E+00
+0.6553771098068133E+03 +0.1202745719629883E-04 +0.0000000000000000E+00
+0.6553952507293867E+03 +0.1207924438082839E-04 +0.0000000000000000E+00
+0.6554133916519600E+03 +0.1213137795305991E-04 +0.0000000000000000E+00
+0.6554315325745333E+03 +0.1218386108677551E-04 +0.0000000000000000E+00
+0.6554496734971067E+03 +0.1223669699287964E-04 +0.0000000000000000E+00
+0.6554678144196801E+03 +0.1228988891993005E-04 +0.0000000000000000E+00
+0.6554859553422534E+03 +0.1234344015467622E-04 +0.0000000000000000E+00
+0.6555040962648267E+03 +0.1239735402260706E-04 +0.0000000000000000E+00
