# Loss function L(Q,w) and dynamical structure factor S(Q,w)
#
# L(Q,w)= -Im(1/eps_m(Q,w) [1]
# S(Q,w)= L(Q,w)*|Q|^2*/(4 pi^2 n_val) [Energy^-1]
#
# Momentum transfer Q=G+q in lattice coordinates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian coordinates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
#   Frequency/(eV/hbar)                  L(Q,w)             S(Q,w)*1000
+0.3646325437240000E+03 +0.4530671362982620E-04 +0.0000000000000000E+00
+0.3646887805839773E+03 +0.4557336680707433E-04 +0.0000000000000000E+00
+0.3647450174439547E+03 +0.4584253369389089E-04 +0.0000000000000000E+00
+0.3648012543039320E+03 +0.4611424764808623E-04 +0.0000000000000000E+00
+0.3648574911639094E+03 +0.4638854260790289E-04 +0.0000000000000000E+00
+0.3649137280238867E+03 +0.4666545310467370E-04 +0.0000000000000000E+00
+0.3649699648838640E+03 +0.4694501427581913E-04 +0.0000000000000000E+00
+0.3650262017438414E+03 +0.4722726187818756E-04 +0.0000000000000000E+00
+0.3650824386038187E+03 +0.4751223230175260E-04 +0.0000000000000000E+00
+0.3651386754637960E+03 +0.4779996258368113E-04 +0.0000000000000000E+00
+0.3651949123237734E+03 +0.4809049042277841E-04 +0.0000000000000000E+00
+0.3652511491837507E+03 +0.4838385419432527E-04 +0.0000000000000000E+00
+0.3653073860437281E+03 +0.4868009296532289E-04 +0.0000000000000000E+00
+0.3653636229037054E+03 +0.4897924651015083E-04 +0.0000000000000000E+00
+0.3654198597636827E+03 +0.4928135532666110E-04 +0.0000000000000000E+00
+0.3654760966236601E+03 +0.4958646065271425E-04 +0.0000000000000000E+00
+0.3655323334836374E+03 +0.4989460448317582E-04 +0.0000000000000000E+00
+0.3655885703436147E+03 +0.5020582958739091E-04 +0.0000000000000000E+00
+0.3656448072035921E+03 +0.5052017952714637E-04 +0.0000000000000000E+00
+0.3657010440635693E+03 +0.5083769867514161E-04 +0.0000000000000000E+00
+0.3657572809235467E+03 +0.5115843223398566E-04 +0.0000000000000000E+00
+0.3658135177835240E+03 +0.5148242625573295E-04 +0.0000000000000000E+00
+0.3658697546435013E+03 +0.5180972766198328E-04 +0.0000000000000000E+00
+0.3659259915034787E+03 +0.5214038426455907E-04 +0.0000000000000000E+00
+0.3659822283634560E+03 +0.5247444478678223E-04 +0.0000000000000000E+00
+0.3660384652234333E+03 +0.5281195888537343E-04 +0.0000000000000000E+00
+0.3660947020834107E+03 +0.5315297717299080E-04 +0.0000000000000000E+00
+0.3661509389433880E+03 +0.5349755124143292E-04 +0.0000000000000000E+00
+0.3662071758033654E+03 +0.5384573368553174E-04 +0.0000000000000000E+00
